"Stock","مخزون"
"Warehouse","مستودع"
"Item","صنف"
"Purchase Order","أمر شراء"
"Sales Order","أمر بيع"
"Customer","عميل"
"Supplier","مورد"
"Accounting","المحاسبة"
"Accounts Payable","حسابات الدفع"
"Accounts Receivable","حسابات القبض"
"Human Resources","الموارد البشرية"
"Payroll","الرواتب"
"Employee","موظف"
"Leave Application","طلب إجازة"
"Project","مشروع"
"Task","مهمة"
"Manufacturing","التصنيع"
"Work Order","أمر عمل"
"Bill of Materials","قائمة المواد"
"CRM","إدارة علاقات العملاء"
"Lead","عميل محتمل"
"Opportunity","فرصة بيع"
"Buying","الشراء"
"Selling","البيع"
"Assets","الأصول"
"Support","الدعم الفني"
"Maintenance","الصيانة"
"Settings","الإعدادات"
"Integrations","التكاملات"
"Tools","الأدوات"
"Dashboard","لوحة التحكم"
"Report Builder","منشئ التقارير"
"Global Search","البحث العام"
"Search for a page or document","ابحث عن صفحة أو مستند"
"Create New","إنشاء جديد"
"List View","عرض القائمة"
"Kanban Board","لوحة كانبان"
"Gantt Chart","مخطط غانت"
"Full Page","صفحة كاملة"
"Discard Changes","تجاهل التغييرات"
"Save Changes","حفظ التغييرات"
"Submitting...","جاري الإرسال..."
"Submitted","تم الإرسال"
"Cancelled","ملغى"
"Draft","مسودة"
"Closed","مغلق"
"Open","مفتوح"
"On Hold","قيد الانتظار"
"Expired","منتهي الصلاحية"
"Active","نشط"
"Inactive","غير نشط"
